prioridad_rank,filas_afectadas_total,filas_vegetativa,filas_pesos,modulo_raw,turno_raw,valvula_raw,cama_raw,modulo_normalizado,id_geografia_base,id_cama,estados_detectados,detalle_resolucion,archivos_fuente,fecha_ultima_aparicion
1,431,246,185,VI,01,1,1,VI,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx | Reporte_evaluacion_peso.xlsx,2026-03-24 12:09:42.097963
2,96,48,48,VI,01,1,0,VI,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx | Reporte_evaluacion_peso.xlsx,2026-03-24 12:09:42.097963
3,66,66,0,VI,01,1,2,VI,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
4,5,5,0,9.1,05,4,23,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
5,5,5,0,9.1,05,6,23,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
6,5,5,0,9.1,06,1,0,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
7,5,5,0,9.2,11,1,15,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
8,4,4,0,9.1,04,6,23,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
9,4,4,0,9.1,05,2,0,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
10,4,4,0,9.1,05,3,0,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
11,4,4,0,9.1,05,5,23,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
12,4,4,0,9.1,06,5,23,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
13,4,4,0,9.2,03,2,23,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
14,4,4,0,9.2,09,3,23,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
15,4,4,0,9.2,10,1,15,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
16,3,3,0,9.1,03,4,0,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
17,3,3,0,9.1,03,5,23,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
18,3,3,0,9.1,04,1,0,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
19,3,3,0,9.1,04,1,23,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
20,3,3,0,9.1,04,2,0,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
21,3,3,0,9.1,04,3,23,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
22,3,3,0,9.1,04,4,1,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
23,3,3,0,9.1,04,5,1,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
24,3,3,0,9.1,04,6,1,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
25,3,3,0,9.1,04,7,1,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
26,3,3,0,9.1,05,1,0,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
27,3,3,0,9.1,05,1,23,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
28,3,3,0,9.1,05,2,23,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
29,3,3,0,9.1,05,3,23,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
30,3,3,0,9.1,05,7,23,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
31,3,3,0,9.1,06,2,0,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
32,3,3,0,9.1,06,3,0,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
33,3,3,0,9.1,06,6,23,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
34,3,3,0,9.2,01,1,0,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
35,3,3,0,9.2,01,1,23,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
36,3,3,0,9.2,01,2,1,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
37,3,3,0,9.2,01,3,1,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
38,3,3,0,9.2,01,3,23,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
39,3,3,0,9.2,02,1,1,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
40,3,3,0,9.2,02,1,23,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
41,3,3,0,9.2,02,3,1,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
42,3,3,0,9.2,03,1,23,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
43,3,3,0,9.2,04,1,23,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
44,3,3,0,9.2,04,2,23,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
45,3,3,0,9.2,04,3,23,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
46,3,3,0,9.2,05,2,0,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
47,3,3,0,9.2,05,3,0,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
48,3,3,0,9.2,06,1,0,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
49,3,3,0,9.2,06,3,23,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
50,3,3,0,9.2,07,1,0,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
51,3,3,0,9.2,07,1,23,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
52,3,3,0,9.2,07,2,0,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
53,3,3,0,9.2,07,3,23,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
54,3,3,0,9.2,08,2,23,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
55,3,3,0,9.2,09,1,0,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
56,3,3,0,9.2,09,1,23,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
57,3,3,0,9.2,09,2,0,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
58,3,3,0,9.2,09,2,23,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
59,3,3,0,9.2,09,3,0,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
60,3,3,0,9.2,10,2,15,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
61,3,3,0,9.2,10,3,15,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
62,3,3,0,9.2,11,2,15,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
63,3,3,0,9.2,11,3,15,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
64,3,0,3,9.,10,1,0,9.,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Reporte_evaluacion_peso.xlsx,2026-03-24 12:09:36.273032
65,3,0,3,9.,10,1,18,9.,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Reporte_evaluacion_peso.xlsx,2026-03-24 12:09:36.273032
66,2,2,0,9.1,03,4,1,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
67,2,2,0,9.1,03,5,0,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
68,2,2,0,9.1,03,6,0,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
69,2,2,0,9.1,03,6,1,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
70,2,2,0,9.1,03,6,23,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
71,2,2,0,9.1,03,7,0,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
72,2,2,0,9.1,03,7,23,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
73,2,2,0,9.1,04,2,23,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
74,2,2,0,9.1,04,3,63,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
75,2,2,0,9.1,04,4,0,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
76,2,2,0,9.1,04,4,23,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
77,2,2,0,9.1,04,5,0,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
78,2,2,0,9.1,04,5,15,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
79,2,2,0,9.1,04,5,23,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
80,2,2,0,9.1,04,7,0,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
81,2,2,0,9.1,04,7,18,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
82,2,2,0,9.1,05,4,0,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
83,2,2,0,9.1,05,5,0,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
84,2,2,0,9.1,05,6,0,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
85,2,2,0,9.1,06,2,18,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
86,2,2,0,9.1,06,3,18,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
87,2,2,0,9.1,06,4,18,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
88,2,2,0,9.1,06,4,23,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
89,2,2,0,9.1,06,5,0,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
90,2,2,0,9.1,06,5,18,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
91,2,2,0,9.1,06,6,0,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
92,2,2,0,9.1,06,6,18,9.1,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
93,2,2,0,9.2,01,2,23,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
94,2,2,0,9.2,02,2,23,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
95,2,2,0,9.2,02,3,23,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
96,2,2,0,9.2,03,1,1,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
97,2,2,0,9.2,03,1,15,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
98,2,2,0,9.2,03,3,23,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
99,2,2,0,9.2,04,1,0,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
100,2,2,0,9.2,04,2,0,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
101,2,2,0,9.2,04,3,0,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
102,2,2,0,9.2,04,3,15,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
103,2,2,0,9.2,05,1,0,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
104,2,2,0,9.2,05,1,23,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
105,2,2,0,9.2,05,2,23,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
106,2,2,0,9.2,05,3,23,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
107,2,2,0,9.2,06,1,15,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
108,2,2,0,9.2,06,1,18,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
109,2,2,0,9.2,06,2,15,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
110,2,2,0,9.2,06,2,23,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
111,2,2,0,9.2,06,3,0,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
112,2,2,0,9.2,06,3,15,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
113,2,2,0,9.2,07,2,18,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
114,2,2,0,9.2,07,2,23,9.2,,,PENDIENTE_CASO_ESPECIAL_SIN_REGLA,El modulo es especial y no existe una regla activa en MDM.Regla_Geografia_Especial.,Evaluación Vegetativa.xlsx,2026-03-24 12:09:42.097963
